Type,SFN
COMPACTION,ALIGNIQ_COMPACTION
COMPACTION,APTTUS_COMPACTION
COMPACTION,BF_EDHR_CS_COMPACTION
COMPACTION,BFE_COMPACTION
COMPACTION,CHU_COMPACTION
COMPACTION,CONNECTIVITY_COMPACTION
COMPACTION,CSO_COMPACTION
COMPACTION,DRM_COMPACTION
COMPACTION,ELICENSE_COMPACTION
COMPACTION,FLAT_FILE_COMPACTION
COMPACTION,GIB_COMPACTION
COMPACTION,GLA_COMPACTION
COMPACTION,GLPROD_COMPACTION
COMPACTION,GPM_COMPACTION
COMPACTION,MAPP_COMPACTION_GLPROD_INTRADAY
COMPACTION,MAPP_FLAT_FILE_COMPACTION
COMPACTION,MAPP_GLPROD_COMPACTION
COMPACTION,MAPP_RS_AUDIT_FINISH
COMPACTION,MAPP_RS_AUDIT_START
COMPACTION,MUST_COMPACTION
COMPACTION,MWS_COMPACTION
COMPACTION,MWSAGILE_COMPACTION
COMPACTION,NVO_COMPACTION
COMPACTION,PQW_COMPACTION
COMPACTION,RULE_STUDIO_COMPACTION
COMPACTION,SALESFORCE_COMPACTION
COMPACTION,SBOM_COMPACTION
COMPACTION,SERVICEMAX_COMPACTION
COMPACTION,SIEBEL_AMERICAS_COMPACTION
COMPACTION,SIT_COMPACTION
ENTITY,CD_ENTITY_MASTER_SCHEDULE
ENTITY,CI_ENTITY_MASTER_SCHEDULE
ENTITY,CI_SR_ENTITY_SAM_SIT_MUST_BFE
ENTITY,IB_INTEL_ENTITY_DQ_FRAMEWORK
ENTITY,IB_INTEL_ENTITY_MASTER_SCHEDULE
ENTITY,IB_UPGRADE_ENTITY_JOBS
ENTITY,MAPP_ENTITY_DAILY_MASTER_SCHEDULE
ENTITY,MAPP_REFRESH_SPOTFIRE
ENTITY,MAPP_SNAPSHOT_WRAPPER
ENTITY,MAPP_UNSOURCED_SNAPSHOT_WRAPPER
ENTITY,SR_ENTITY_MASTER_SCHEDULE
CDS,CI_CDS_AR_INVC_CDS_DTL_F_SUMMARY
CDS,CI_CDS_MASTER_SCHEDULE
CDS,IB_INTEL_CDS_MASTER_SCHEDULE
CDS,MAPP_CDS_DAILY_MASTER_SCHEDULE
CDS,OUTLIERS_CDS_MASTER_SCHEDULE
CDS,SR_CDS_MASTER_SCHEDULE
