Type,SFN,Status,Start Time,End Time,Execution Time
COMPACTION,ALIGNIQ_COMPACTION,SUCCEEDED,"Sep 09, 2020, 07:03","Sep 09, 2020, 07:11","8 mins, 36 secs"
COMPACTION,APTTUS_COMPACTION,SUCCEEDED,"Sep 09, 2020, 07:28","Sep 09, 2020, 07:52","23 mins, 57 secs"
COMPACTION,BF_EDHR_CS_COMPACTION,WAITING,-,-,-
COMPACTION,BFE_COMPACTION,SUCCEEDED,"Sep 09, 2020, 06:32","Sep 09, 2020, 07:15","43 mins, 8 secs"
COMPACTION,CHU_COMPACTION,WAITING,-,-,-
COMPACTION,CONNECTIVITY_COMPACTION,SUCCEEDED,"Sep 09, 2020, 06:32","Sep 09, 2020, 06:57","25 mins, 3 secs"
COMPACTION,CSO_COMPACTION,WAITING,-,-,-
COMPACTION,DRM_COMPACTION,RUNNING,"Sep 09, 2020, 08:32",-,-
COMPACTION,ELICENSE_COMPACTION,WAITING,-,-,-
COMPACTION,FLAT_FILE_COMPACTION,SUCCEEDED,"Sep 09, 2020, 07:51","Sep 09, 2020, 08:19","27 mins, 23 secs"
COMPACTION,GIB_COMPACTION,WAITING,-,-,-
COMPACTION,GLA_COMPACTION,SUCCEEDED,"Sep 09, 2020, 01:30","Sep 09, 2020, 05:56","4 hrs, 26 mins, 28 secs"
COMPACTION,GLPROD_COMPACTION,RUNNING,"Sep 09, 2020, 06:32",-,-
COMPACTION,GPM_COMPACTION,RUNNING,"Sep 09, 2020, 07:52",-,-
COMPACTION,MAPP_COMPACTION_GLPROD_INTRADAY,SUCCEEDED,"Sep 09, 2020, 06:32","Sep 09, 2020, 07:07","35 mins, 22 secs"
COMPACTION,MAPP_FLAT_FILE_COMPACTION,SUCCEEDED,"Sep 09, 2020, 04:55","Sep 09, 2020, 05:20","25 mins, 7 secs"
COMPACTION,MAPP_GLPROD_COMPACTION,SUCCEEDED,"Sep 09, 2020, 05:20","Sep 09, 2020, 06:32","1 hrs, 11 mins, 31 secs"
COMPACTION,MAPP_RS_AUDIT_FINISH,SUCCEEDED,"Sep 09, 2020, 07:07","Sep 09, 2020, 07:08","0 mins, 53 secs"
COMPACTION,MAPP_RS_AUDIT_START,SUCCEEDED,"Sep 09, 2020, 04:50","Sep 09, 2020, 04:55","4 mins, 57 secs"
COMPACTION,MUST_COMPACTION,SUCCEEDED,"Sep 09, 2020, 06:32","Sep 09, 2020, 07:28","56 mins, 25 secs"
COMPACTION,MWS_COMPACTION,SUCCEEDED,"Sep 09, 2020, 06:32","Sep 09, 2020, 07:03","30 mins, 40 secs"
COMPACTION,MWSAGILE_COMPACTION,SUCCEEDED,"Sep 09, 2020, 07:15","Sep 09, 2020, 07:26","11 mins, 19 secs"
COMPACTION,NVO_COMPACTION,SUCCEEDED,"Sep 09, 2020, 08:19","Sep 09, 2020, 08:32","12 mins, 45 secs"
COMPACTION,PQW_COMPACTION,SUCCEEDED,"Sep 09, 2020, 07:11","Sep 09, 2020, 07:51","40 mins, 9 secs"
COMPACTION,RULE_STUDIO_COMPACTION,WAITING,-,-,-
COMPACTION,SALESFORCE_COMPACTION,SUCCEEDED,"Sep 09, 2020, 06:59","Sep 09, 2020, 07:51","52 mins, 2 secs"
COMPACTION,SBOM_COMPACTION,SUCCEEDED,"Sep 09, 2020, 06:32","Sep 09, 2020, 06:59","27 mins, 23 secs"
COMPACTION,SERVICEMAX_COMPACTION,RUNNING,"Sep 09, 2020, 07:26",-,-
COMPACTION,SIEBEL_AMERICAS_COMPACTION,RUNNING,"Sep 09, 2020, 06:57",-,-
COMPACTION,SIT_COMPACTION,RUNNING,"Sep 09, 2020, 07:51",-,-
ENTITY,CD_ENTITY_MASTER_SCHEDULE,WAITING,-,-,-
ENTITY,CI_ENTITY_MASTER_SCHEDULE,WAITING,-,-,-
ENTITY,CI_SR_ENTITY_SAM_SIT_MUST_BFE,WAITING,-,-,-
ENTITY,IB_INTEL_ENTITY_DQ_FRAMEWORK,WAITING,-,-,-
ENTITY,IB_INTEL_ENTITY_MASTER_SCHEDULE,WAITING,-,-,-
ENTITY,IB_UPGRADE_ENTITY_JOBS,WAITING,-,-,-
ENTITY,MAPP_ENTITY_DAILY_MASTER_SCHEDULE,SUCCEEDED,"Sep 09, 2020, 07:08","Sep 09, 2020, 08:08","59 mins, 33 secs"
ENTITY,MAPP_REFRESH_SPOTFIRE,WAITING,-,-,-
ENTITY,MAPP_SNAPSHOT_WRAPPER,WAITING,-,-,-
ENTITY,MAPP_UNSOURCED_SNAPSHOT_WRAPPER,WAITING,-,-,-
ENTITY,SR_ENTITY_MASTER_SCHEDULE,WAITING,-,-,-
CDS,CI_CDS_AR_INVC_CDS_DTL_F_SUMMARY,WAITING,-,-,-
CDS,CI_CDS_MASTER_SCHEDULE,WAITING,-,-,-
CDS,IB_INTEL_CDS_MASTER_SCHEDULE,WAITING,-,-,-
CDS,MAPP_CDS_DAILY_MASTER_SCHEDULE,RUNNING,"Sep 09, 2020, 08:08",-,-
CDS,OUTLIERS_CDS_MASTER_SCHEDULE,WAITING,-,-,-
CDS,SR_CDS_MASTER_SCHEDULE,WAITING,-,-,-
